         10473134 function calls (10377090 primitive calls) in 10.609 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.000    0.000    0.000    0.000 <frozen _collections_abc>:1022(__iter__)
       14    0.000    0.000    0.000    0.000 <frozen _collections_abc>:341(__subclasshook__)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
      900    0.001    0.000    0.003    0.000 <frozen _collections_abc>:811(__contains__)
       14    0.000    0.000    0.000    0.000 <frozen _collections_abc>:819(keys)
       28    0.000    0.000    0.000    0.000 <frozen _collections_abc>:823(items)
       42    0.000    0.000    0.000    0.000 <frozen _collections_abc>:845(__init__)
       14    0.000    0.000    0.000    0.000 <frozen _collections_abc>:848(__len__)
       46    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
     1516    0.001    0.000    0.003    0.000 <frozen _collections_abc>:892(__iter__)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:966(clear)
       68    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
    34538    0.007    0.000    0.019    0.000 <frozen abc>:117(__instancecheck__)
14206/11338    0.004    0.000    0.010    0.000 <frozen abc>:121(__subclasscheck__)
        4    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        4    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
       43    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1231(_resolve_name)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
       11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1285(_sanity_check)
     11/5    0.000    0.000    0.010    0.002 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    78/72    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:1349(_find_and_load)
       68    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1375(_gcd_import)
4709/4705    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
